ts,coin_id,signal,price,stop,target,rr,expected_return_pct,ema200,rsi14,atr14
2025-10-24 02:00:00+02:00,ZECUSDT,LONG,251.94,239.974001,269.888998,1.5,7.12,241.640652,59.4,7.977332
2025-10-24 02:00:00+02:00,YBUSDT,LONG,0.5173,0.483711,0.567684,1.5,9.74,0.486296,67.58,0.022393
2025-10-24 03:00:00+02:00,YBUSDT,LONG,0.5168,0.485181,0.564229,1.5,9.18,0.486583,67.49,0.02108
2025-10-24 03:00:00+02:00,AVNTUSDT,LONG,0.6666,0.635103,0.713845,1.5,7.09,0.6186,53.81,0.020998
2025-10-24 03:00:00+02:00,ZECUSDT,LONG,254.2,242.2442,272.133699,1.5,7.05,241.785034,60.96,7.970533
2025-10-24 03:00:00+02:00,YBUSDT,LONG,0.5096,0.476877,0.558684,1.5,9.63,0.486512,64.61,0.021815
2025-10-24 03:00:00+02:00,ZECUSDT,LONG,252.7,240.600629,270.849057,1.5,7.18,241.770109,59.45,8.066247
2025-10-24 03:00:00+02:00,YBUSDT,LONG,0.5119,0.479177,0.560984,1.5,9.59,0.486535,65.58,0.021815
2025-10-24 03:00:00+02:00,AVNTUSDT,LONG,0.6661,0.633918,0.714374,1.5,7.25,0.618595,53.62,0.021455
2025-10-24 03:00:00+02:00,AVNTUSDT,LONG,0.6633,0.630743,0.712136,1.5,7.36,0.618567,52.59,0.021705
2025-10-24 03:00:00+02:00,ZECUSDT,LONG,253.23,240.867058,271.774414,1.5,7.32,241.775383,60.01,8.241962
2025-10-24 03:00:00+02:00,YBUSDT,LONG,0.5018,0.467727,0.552909,1.5,10.19,0.486434,61.52,0.022715
2025-10-24 03:00:00+02:00,AVNTUSDT,LONG,0.6745,0.641482,0.724027,1.5,7.34,0.618678,56.27,0.022012
2025-10-24 03:00:00+02:00,ZECUSDT,LONG,255.93,243.429915,274.680128,1.5,7.33,241.802248,62.14,8.33339
2025-10-24 03:00:00+02:00,YBUSDT,LONG,0.4984,0.464327,0.549509,1.5,10.25,0.4864,60.26,0.022715
2025-10-24 03:00:00+02:00,AVNTUSDT,LONG,0.6718,0.638707,0.72144,1.5,7.39,0.618652,55.46,0.022062
2025-10-24 04:00:00+02:00,ZECUSDT,LONG,257.0,244.953492,275.069762,1.5,7.03,241.948829,62.91,8.031005
2025-10-24 04:00:00+02:00,YBUSDT,LONG,0.4935,0.461025,0.542212,1.5,9.87,0.486486,58.36,0.02165
2025-10-24 04:00:00+02:00,AVNTUSDT,LONG,0.6736,0.641478,0.721783,1.5,7.15,0.619153,56.15,0.021415
2025-10-24 04:00:00+02:00,ZECUSDT,LONG,256.35,244.091349,274.737976,1.5,7.17,241.942361,62.46,8.172434
2025-10-24 04:00:00+02:00,YBUSDT,LONG,0.5016,0.468836,0.550746,1.5,9.8,0.486566,61.24,0.021843
2025-10-24 04:00:00+02:00,AVNTUSDT,LONG,0.6748,0.642678,0.722983,1.5,7.14,0.619165,56.53,0.021415
2025-10-24 04:00:00+02:00,AVNTUSDT,LONG,0.6811,0.648635,0.729797,1.5,7.15,0.619228,58.4,0.021643
2025-10-24 04:00:00+02:00,ZECUSDT,LONG,259.61,247.134921,278.322619,1.5,7.21,241.974799,64.61,8.31672
2025-10-24 04:00:00+02:00,YBUSDT,LONG,0.4985,0.465618,0.547823,1.5,9.89,0.486535,60.25,0.021921
2025-10-24 04:00:00+02:00,ZECUSDT,LONG,261.44,248.857778,280.313333,1.5,7.22,241.993008,65.72,8.388148
2025-10-24 05:00:00+02:00,YBUSDT,LONG,0.4978,0.467256,0.543616,1.5,9.2,0.48664,59.97,0.020363
2025-10-24 05:00:00+02:00,YBUSDT,LONG,0.4894,0.457249,0.537627,1.5,9.85,0.486556,56.68,0.021434
2025-10-24 05:00:00+02:00,AVNTUSDT,LONG,0.6984,0.665479,0.747782,1.5,7.07,0.620158,62.86,0.021947
2025-10-24 05:00:00+02:00,ZECUSDT,LONG,257.21,244.964008,275.578988,1.5,7.14,242.131534,61.56,8.163995
2025-10-24 05:00:00+02:00,YBUSDT,LONG,0.4936,0.461449,0.541827,1.5,9.77,0.486598,58.29,0.021434
2025-10-24 05:00:00+02:00,AVNTUSDT,LONG,0.7128,0.678336,0.764496,1.5,7.25,0.620302,66.08,0.022976
2025-10-24 05:00:00+02:00,ZECUSDT,LONG,255.84,243.566151,274.250774,1.5,7.2,242.117902,60.09,8.182566
2025-10-24 05:00:00+02:00,ZECUSDT,LONG,257.59,245.147937,276.253095,1.5,7.25,242.135315,61.98,8.294709
2025-10-24 05:00:00+02:00,YBUSDT,LONG,0.4993,0.467042,0.547687,1.5,9.69,0.486655,60.38,0.021506
2025-10-24 05:00:00+02:00,ZECUSDT,LONG,256.8,244.357937,275.463095,1.5,7.27,242.127454,61.11,8.294709
2025-10-24 05:00:00+02:00,YBUSDT,LONG,0.4951,0.462585,0.543873,1.5,9.85,0.486613,58.88,0.021677
2025-10-24 05:00:00+02:00,AVNTUSDT,LONG,0.7209,0.685161,0.774508,1.5,7.44,0.620382,67.66,0.023826
2025-10-24 06:00:00+02:00,AVNTUSDT,LONG,0.7314,0.696976,0.783037,1.5,7.06,0.621584,69.5,0.02295
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.14,1.354629,0.818056,1.5,28.24,1.512617,31.4,0.143086
2025-10-24 06:00:00+02:00,AVNTUSDT,LONG,0.7397,0.703283,0.794326,1.5,7.38,0.621667,70.91,0.024278
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.129,1.345665,0.804003,1.5,28.79,1.512507,30.82,0.144443
2025-10-24 06:00:00+02:00,YBUSDT,LONG,0.5006,0.468404,0.548895,1.5,9.65,0.48675,60.45,0.021464
2025-10-24 06:00:00+02:00,AVNTUSDT,LONG,0.7408,0.704383,0.795426,1.5,7.37,0.621678,71.09,0.024278
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.19,1.414808,0.852788,1.5,28.34,1.513114,33.91,0.149872
2025-10-24 06:00:00+02:00,YBUSDT,LONG,0.5108,0.477843,0.560236,1.5,9.68,0.486852,63.1,0.021971
2025-10-24 06:00:00+02:00,AVNTUSDT,LONG,0.7282,0.691376,0.783437,1.5,7.59,0.621552,68.36,0.02455
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.157,1.381808,0.819788,1.5,29.15,1.512786,32.27,0.149872
2025-10-24 06:00:00+02:00,ZECUSDT,LONG,261.12,248.679513,279.780731,1.5,7.15,242.331036,64.71,8.293658
2025-10-24 06:00:00+02:00,AVNTUSDT,LONG,0.7351,0.698276,0.790337,1.5,7.51,0.621621,70.15,0.02455
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.096,1.323808,0.754288,1.5,31.18,1.512179,30.06,0.151872
2025-10-24 06:00:00+02:00,ZECUSDT,LONG,262.85,250.409513,281.510731,1.5,7.1,242.34825,65.81,8.293658
2025-10-24 06:00:00+02:00,YBUSDT,LONG,0.5094,0.476196,0.559205,1.5,9.78,0.486838,62.76,0.022136
2025-10-24 06:00:00+02:00,DEGOUSDT,SHORT,1.111,1.338808,0.769288,1.5,30.76,1.512328,30.4,0.151872
2025-10-24 07:00:00+02:00,YBUSDT,LONG,0.5107,0.47975,0.557125,1.5,9.09,0.487078,63.1,0.020633
2025-10-24 07:00:00+02:00,AVNTUSDT,LONG,0.7385,0.702232,0.792902,1.5,7.37,0.622923,68.22,0.024179
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.09,1.302393,0.771411,1.5,29.23,1.507968,29.91,0.141595
2025-10-24 07:00:00+02:00,ZECUSDT,LONG,264.57,251.959624,283.485564,1.5,7.15,242.619021,64.83,8.406917
2025-10-24 07:00:00+02:00,YBUSDT,LONG,0.5057,0.473775,0.553587,1.5,9.47,0.487028,61.09,0.021283
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.107,1.324429,0.780857,1.5,29.46,1.508137,30.7,0.144952
2025-10-24 07:00:00+02:00,ZECUSDT,LONG,264.02,251.262838,283.155743,1.5,7.25,242.613548,64.24,8.504775
2025-10-24 07:00:00+02:00,YBUSDT,LONG,0.5054,0.473475,0.553287,1.5,9.48,0.487025,60.97,0.021283
2025-10-24 07:00:00+02:00,AVNTUSDT,LONG,0.7449,0.708021,0.800218,1.5,7.43,0.622987,70.64,0.024586
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.103,1.320429,0.776857,1.5,29.57,1.508098,30.48,0.144952
2025-10-24 07:00:00+02:00,YBUSDT,LONG,0.5035,0.471575,0.551387,1.5,9.51,0.487006,60.18,0.021283
2025-10-24 07:00:00+02:00,AVNTUSDT,LONG,0.7433,0.706421,0.798618,1.5,7.44,0.622971,70.02,0.024586
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.118,1.335429,0.791857,1.5,29.17,1.508247,31.31,0.144952
2025-10-24 07:00:00+02:00,ZECUSDT,LONG,267.57,254.805338,286.716993,1.5,7.16,242.648871,68.26,8.509775
2025-10-24 07:00:00+02:00,YBUSDT,LONG,0.5037,0.471775,0.551587,1.5,9.51,0.487008,60.26,0.021283
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.124,1.343572,0.794643,1.5,29.3,1.508307,31.63,0.146381
2025-10-24 07:00:00+02:00,ZECUSDT,LONG,265.72,252.955338,284.866993,1.5,7.21,242.630463,66.1,8.509775
2025-10-24 07:00:00+02:00,DEGOUSDT,SHORT,1.18,1.407072,0.839393,1.5,28.87,1.508864,34.52,0.151381
2025-10-24 08:00:00+02:00,YBUSDT,LONG,0.4954,0.464914,0.541129,1.5,9.23,0.487008,57.01,0.020324
2025-10-24 08:00:00+02:00,DEGOUSDT,SHORT,1.208,1.420566,0.88915,1.5,26.39,1.506166,35.91,0.141711
2025-10-24 08:00:00+02:00,DEGOUSDT,SHORT,1.237,1.454495,0.910758,1.5,26.37,1.506454,37.31,0.144997
2025-10-24 08:00:00+02:00,ZECUSDT,LONG,258.89,246.479957,277.505065,1.5,7.19,242.768422,58.89,8.273362
2025-10-24 08:00:00+02:00,DEGOUSDT,SHORT,1.407,1.641745,1.054883,1.5,25.03,1.508146,44.63,0.156497
2025-10-24 08:00:00+02:00,DEGOUSDT,SHORT,1.348,1.583495,0.994758,1.5,26.2,1.507559,42.29,0.156997
2025-10-24 08:00:00+02:00,AVNTUSDT,LONG,0.7466,0.708151,0.804274,1.5,7.72,0.62418,70.16,0.025633
2025-10-24 08:00:00+02:00,DEGOUSDT,SHORT,1.37,1.605495,1.016758,1.5,25.78,1.507778,43.19,0.156997
2025-10-24 08:00:00+02:00,AVNTUSDT,LONG,0.7863,0.745547,0.847429,1.5,7.77,0.624575,75.65,0.027169
2025-10-24 09:00:00+02:00,DEGOUSDT,SHORT,1.403,1.627092,1.066862,1.5,23.96,1.507198,44.55,0.149395
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.8011,0.760172,0.862492,1.5,7.66,0.626478,77.21,0.027286
2025-10-24 09:00:00+02:00,DEGOUSDT,SHORT,1.417,1.645699,1.073951,1.5,24.21,1.507338,45.01,0.152466
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.7857,0.741611,0.851834,1.5,8.42,0.626324,72.03,0.029393
2025-10-24 09:00:00+02:00,ZECUSDT,LONG,257.3,244.818914,276.021629,1.5,7.28,242.910258,57.31,8.320724
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.7819,0.737768,0.848098,1.5,8.47,0.626286,70.86,0.029421
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.7772,0.732511,0.844234,1.5,8.63,0.62624,69.46,0.029793
2025-10-24 09:00:00+02:00,ZECUSDT,LONG,257.96,245.478914,276.681629,1.5,7.26,242.916825,57.96,8.320724
2025-10-24 09:00:00+02:00,YBUSDT,SHORT,0.4723,0.503709,0.425187,1.5,9.98,0.486777,48.81,0.020939
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.7735,0.728715,0.840678,1.5,8.68,0.626203,68.4,0.029857
2025-10-24 09:00:00+02:00,ZECUSDT,LONG,257.88,245.3957,276.60645,1.5,7.26,242.916029,57.88,8.322867
2025-10-24 09:00:00+02:00,DEGOUSDT,SHORT,1.416,1.655949,1.056076,1.5,25.42,1.507328,44.97,0.159966
2025-10-24 09:00:00+02:00,AVNTUSDT,LONG,0.7796,0.734311,0.847534,1.5,8.71,0.626264,70.17,0.030193
2025-10-24 10:00:00+02:00,DEGOUSDT,SHORT,1.288,1.52428,0.933581,1.5,27.52,1.503707,41.37,0.15752
2025-10-24 10:00:00+02:00,YBUSDT,SHORT,0.4693,0.49943,0.424105,1.5,9.63,0.486624,47.77,0.020086
2025-10-24 10:00:00+02:00,AVNTUSDT,LONG,0.7772,0.733796,0.842306,1.5,8.38,0.627797,69.34,0.028936
2025-10-24 10:00:00+02:00,YBUSDT,SHORT,0.4701,0.50023,0.424905,1.5,9.61,0.486632,48.03,0.020086
2025-10-24 10:00:00+02:00,DEGOUSDT,SHORT,1.492,1.757958,1.093063,1.5,26.74,1.505737,48.74,0.177305
2025-10-24 10:00:00+02:00,YBUSDT,SHORT,0.4691,0.49923,0.423905,1.5,9.63,0.486622,47.7,0.020086
2025-10-24 10:00:00+02:00,ZECUSDT,LONG,258.2,245.984936,276.522597,1.5,7.1,243.059444,57.94,8.143376
2025-10-24 10:00:00+02:00,DEGOUSDT,SHORT,1.46,1.725958,1.061063,1.5,27.32,1.505419,47.71,0.177305
2025-10-24 10:00:00+02:00,YBUSDT,SHORT,0.4725,0.50263,0.427305,1.5,9.56,0.486656,48.82,0.020086
2025-10-24 10:00:00+02:00,ZECUSDT,LONG,258.3,246.084936,276.622597,1.5,7.09,243.060439,58.02,8.143376
2025-10-24 11:00:00+02:00,DEGOUSDT,SHORT,1.464,1.711711,1.092433,1.5,25.38,1.505056,47.84,0.165141
2025-10-24 11:00:00+02:00,DEGOUSDT,SHORT,1.412,1.669675,1.025487,1.5,27.37,1.504538,46.22,0.171784
2025-10-24 11:00:00+02:00,DEGOUSDT,SHORT,1.4,1.661318,1.008023,1.5,28.0,1.504419,45.87,0.174212
2025-10-24 11:00:00+02:00,DEGOUSDT,SHORT,1.417,1.678318,1.025023,1.5,27.66,1.504588,46.37,0.174212
2025-10-24 11:00:00+02:00,DEGOUSDT,SHORT,1.409,1.670318,1.017023,1.5,27.82,1.504509,46.13,0.174212
2025-10-24 11:00:00+02:00,AVNTUSDT,LONG,0.7757,0.730367,0.843699,1.5,8.77,0.629089,66.58,0.030222
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.393,1.635653,1.029021,1.5,26.13,1.503242,45.66,0.161768
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.7784,0.735738,0.842394,1.5,8.22,0.630582,66.97,0.028442
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.371,1.619438,0.998342,1.5,27.18,1.503023,44.97,0.165626
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.7843,0.740159,0.850512,1.5,8.44,0.630641,67.82,0.029427
2025-10-24 12:00:00+02:00,YBUSDT,SHORT,0.4719,0.500596,0.428856,1.5,9.12,0.486461,48.42,0.019131
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.342,1.592688,0.965967,1.5,28.02,1.502734,44.1,0.167126
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.8055,0.759152,0.875022,1.5,8.63,0.630852,70.53,0.030899
2025-10-24 12:00:00+02:00,YBUSDT,SHORT,0.4671,0.496321,0.423268,1.5,9.38,0.486413,46.73,0.019481
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.302,1.556546,0.920182,1.5,29.33,1.502336,42.95,0.169697
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.7946,0.748038,0.864444,1.5,8.79,0.630743,69.19,0.031042
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.297,1.553581,0.912128,1.5,29.67,1.502286,42.81,0.171054
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.8027,0.756138,0.872544,1.5,8.7,0.630824,70.2,0.031042
2025-10-24 12:00:00+02:00,YBUSDT,SHORT,0.4611,0.491178,0.415983,1.5,9.78,0.486353,44.78,0.020052
2025-10-24 12:00:00+02:00,DEGOUSDT,SHORT,1.289,1.547296,0.901557,1.5,30.06,1.502207,42.59,0.172197
2025-10-24 12:00:00+02:00,AVNTUSDT,LONG,0.8004,0.753838,0.870244,1.5,8.73,0.630801,69.92,0.031042
2025-10-24 12:00:00+02:00,YBUSDT,SHORT,0.4656,0.495678,0.420483,1.5,9.69,0.486398,46.23,0.020052
2025-10-24 13:00:00+02:00,DEGOUSDT,SHORT,1.295,1.534953,0.935071,1.5,27.79,1.500194,42.77,0.159969
2025-10-24 13:00:00+02:00,AVNTUSDT,LONG,0.8002,0.756824,0.865264,1.5,8.13,0.632483,69.89,0.028917
2025-10-24 13:00:00+02:00,YBUSDT,SHORT,0.4667,0.494705,0.424693,1.5,9.0,0.486218,46.58,0.01867
2025-10-24 13:00:00+02:00,DEGOUSDT,SHORT,1.295,1.538489,0.929767,1.5,28.2,1.500194,42.77,0.162326
2025-10-24 13:00:00+02:00,AVNTUSDT,LONG,0.7899,0.745099,0.857101,1.5,8.51,0.632381,66.9,0.029867
2025-10-24 13:00:00+02:00,YBUSDT,SHORT,0.4653,0.49383,0.422505,1.5,9.2,0.486204,46.08,0.01902
2025-10-24 13:00:00+02:00,DEGOUSDT,SHORT,1.298,1.542024,0.931963,1.5,28.2,1.500224,42.89,0.162683
2025-10-24 13:00:00+02:00,AVNTUSDT,LONG,0.7847,0.739353,0.852721,1.5,8.67,0.632329,65.48,0.030232
2025-10-24 13:00:00+02:00,YBUSDT,SHORT,0.4629,0.49144,0.420089,1.5,9.25,0.48618,45.24,0.019027
2025-10-24 13:00:00+02:00,DEGOUSDT,SHORT,1.299,1.543667,0.931999,1.5,28.25,1.500234,42.93,0.163112
